resource_path,id_slug,monster_name,element,faction,model_scene_path,behavior_tree_scene_path,skill_names,base_phys_atk,base_phys_def,base_mag_power,base_mag_resist,base_speed,base_max_health,base_fixed_phys_penetration,base_phys_penetration_rate,base_fixed_magic_penetration,base_magic_penetration_rate,base_crit_rate,base_crit_damage,base_evasion_rate,base_lifesteal_rate
res://resources/monster/anvil_cuihuotiewei.tres,anvil_cuihuotiewei,淬火铁卫,金,0,,,炸弹;金芒覆八方;金术;金击,190.0,320.0,120.0,240.0,105.0,1000.0,10.0,13.0,23,10.0,5.0,2.0,5.0,0.0
res://resources/monster/anvil_duantiezhano.tres,anvil_duantiezhano,锻铁战偶,金,0,,,火击;金芒覆八方;切割;锐锋击;碎铁狂击,140.0,320.0,60.0,160.0,90.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/anvil_rongduanmobing.tres,anvil_rongduanmobing,熔锻魔兵,火,0,,,炸弹,120.0,180.0,170.0,180.0,115.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/berrybush_ducongyao.tres,berrybush_ducongyao,毒丛妖,木,0,,,木术;青灵咒;藤响;万枝乱扑袭,80.0,140.0,150.0,200.0,113.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/berrybush_mantengdushou.tres,berrybush_mantengdushou,蔓藤毒兽,木,0,,,藤响;苍藤刺;抽枝;古木撼山岳;蔓枝绞;木击,140.0,220.0,180.0,280.0,118.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/berrybush_yeguoshou.tres,berrybush_yeguoshou,野果兽,木,0,,,青灵咒;藤响;苍藤刺;抽枝;古木撼山岳,120.0,180.0,140.0,240.0,110.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/fertileland_dimaiyao.tres,fertileland_dimaiyao,地脉芽妖,木,0,,,土术;苍藤刺;抽枝;古木撼山岳;蔓枝绞;木击,100.0,180.0,150.0,240.0,115.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/fertileland_nizhaogenxuguai.tres,fertileland_nizhaogenxuguai,泥沼根须怪,土,0,,,镇土诀;浊岩引;沉岩碎千钧;厚土镇四方;磐石撞;土击,130.0,320.0,110.0,300.0,95.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/fertileland_wotuyinmo.tres,fertileland_wotuyinmo,沃土蚓魔,土,0,,,土术;镇土诀;浊岩引;沉岩碎千钧,90.0,240.0,90.0,220.0,85.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/fishingspot_shenshuijuao.tres,fishingspot_shenshuijuao,深水巨螯,水,0,,,寒浪冲;洪涛席卷来;浪击;流波撞;水击,110.0,160.0,130.0,220.0,115.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/fishingspot_shenyuanyumo.tres,fishingspot_shenyuanyumo,深渊鱼魔,水,0,,,寒汐引;浪决;洪涛席卷来;浪击;流波撞;水击,110.0,200.0,170.0,260.0,125.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/fishingspot_shiyuyao.tres,fishingspot_shiyuyao,噬鱼妖,水,0,,,,80.0,120.0,130.0,180.0,120.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/golddeposit_jingjinyanguai.tres,golddeposit_jingjinyanguai,晶金岩怪,金,0,,,碎星诀;玄金镇神魂;金击;裂金斩;千锋破敌势,160.0,320.0,80.0,200.0,100.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/golddeposit_liujinhuanshou.tres,golddeposit_liujinhuanshou,鎏金幻兽,金,0,,,锐芒;碎星诀;玄金镇神魂;金击,160.0,240.0,60.0,160.0,95.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/golddeposit_suijingshoucaishou.tres,golddeposit_suijingshoucaishou,碎金守财兽,金,0,,,玄金镇神魂;金击;裂金斩;千锋破敌势;切割;锐锋击,200.0,400.0,100.0,260.0,102.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/iceberg_binglenghanshou.tres,iceberg_binglenghanshou,冰棱寒兽,水,0,,,寒汐引;浪决;凝水诀;水术,90.0,120.0,110.0,220.0,118.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/iceberg_dongjingmoxiang.tres,iceberg_dongjingmoxiang,冻晶魔像,水,0,,,浪决;凝水诀;水术;玄水灭灵台;烟雨锁千川,90.0,240.0,150.0,220.0,115.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/iceberg_hanshuangbingpo.tres,iceberg_hanshuangbingpo,寒霜冰魄,水,0,,,凝水诀;水术;玄水灭灵台;烟雨锁千川;沧海覆凡尘;寒浪冲,110.0,200.0,150.0,340.0,131.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/irondeposit_heitiezhanshou.tres,irondeposit_heitiezhanshou,黑铁战兽,金,0,,,鎏光咒;锐芒;碎星诀;玄金镇神魂;金击;裂金斩,200.0,320.0,100.0,240.0,105.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/irondeposit_kuangtiekuilai.tres,irondeposit_kuangtiekuilai,矿铁傀儡,金,0,,,,160.0,360.0,80.0,200.0,95.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/irondeposit_tielinmo.tres,irondeposit_tielinmo,铁鳞魔,金,0,,,金芒覆八方;金术;鎏光咒;碎铁狂击,140.0,240.0,80.0,160.0,95.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/lake_bibolinggui.tres,lake_bibolinggui,碧波灵龟,水,0,,,寒汐引;浪决;凝水诀;流波撞;水击,90.0,220.0,140.0,280.0,115.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/lake_hudiyouying.tres,lake_hudiyouying,湖底幽影,水,0,,,寒汐引;浪击;流波撞;水击,70.0,120.0,110.0,220.0,120.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/lake_huxinshuiyan.tres,lake_huxinshuiyan,湖心水魇,水,0,,,寒汐引;浪决;凝水诀;水术;玄水灭灵台;水击,110.0,200.0,150.0,260.0,125.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/lavalake_chiyanrongshou.tres,lavalake_chiyanrongshou,赤焰熔兽,火,0,,,烬火引;烈焰吞八方;燃魂咒;神火炼凡躯;赤焰焚苍穹;烈炎拳,170.0,220.0,190.0,220.0,120.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/lavalake_ronghuoyanxi.tres,lavalake_ronghuoyanxi,熔火岩蜥,火,0,,,焚灼;火术;燃魂咒;火击,120.0,180.0,150.0,140.0,117.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/lavalake_yanliumohun.tres,lavalake_yanliumohun,炎流魔魂,火,0,,,,120.0,140.0,200.0,180.0,115.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/merchant_heishihuwei.tres,merchant_heishihuwei,黑市护卫,金,0,,,裂金斩;千锋破敌势;切割;锐锋击;碎铁狂击,140.0,300.0,80.0,240.0,95.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/merchant_heixinyongbing.tres,merchant_heixinyongbing,黑心佣兵,土,0,,,厚土封灵脉;沙尘笼天地;磐石撞;土击;岩崩;岩崩击;切割,130.0,320.0,110.0,300.0,95.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/merchant_youdangdaofei.tres,merchant_youdangdaofei,游荡盗匪,金,0,,,金击;裂金斩;千锋破敌势;切割,120.0,200.0,60.0,160.0,95.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/river_hezhaoshuiguai.tres,river_hezhaoshuiguai,河沼水怪,水,0,,,玄水灭灵台;烟雨锁千川;沧海覆凡尘;寒浪冲;洪涛席卷来,90.0,160.0,130.0,220.0,120.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/river_jiliuyoujiao.tres,river_jiliuyoujiao,激流游蛟,水,0,,,水术;玄水灭灵台;烟雨锁千川;沧海覆凡尘,80.0,120.0,110.0,180.0,122.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/river_zhulangshuiling.tres,river_zhulangshuiling,逐浪水灵,水,0,,,烟雨锁千川;沧海覆凡尘;寒浪冲;洪涛席卷来;浪击;流波撞,110.0,200.0,160.0,260.0,130.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/rockwall_lieyanjuling.tres,rockwall_lieyanjuling,裂岩巨灵,土,0,,,石啸;土术;镇土诀;浊岩引;沉岩碎千钧;厚土镇四方;烈炎拳,150.0,360.0,120.0,300.0,95.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/rockwall_shijiashouwei.tres,rockwall_shijiashouwei,石甲守卫,土,0,,,沙尘笼天地;石啸;土术;镇土诀;岩崩击,110.0,420.0,90.0,320.0,82.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/rockwall_yankeshou.tres,rockwall_yankeshou,岩壳兽,土,0,,,厚土封灵脉;沙尘笼天地;石啸;岩崩,110.0,280.0,70.0,220.0,85.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/sandpile_huangmoshaxingshou.tres,sandpile_huangmoshaxingshou,荒漠沙行兽,土,0,,,沉岩碎千钧;厚土镇四方;磐石撞;土击;岩崩,130.0,280.0,90.0,260.0,90.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/sandpile_huangshayanyinshou.tres,sandpile_huangshayanyinshou,黄沙岩隐兽,土,0,,,测试卡2,150.0,80.0,110.0,80.0,95.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/sandpile_liushashaxie.tres,sandpile_liushashaxie,流沙沙蝎,土,0,,,浊岩引;沉岩碎千钧;厚土镇四方;磐石撞,110.0,240.0,70.0,220.0,88.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/snowpile_hanshuangxueguai.tres,snowpile_hanshuangxueguai,寒霜雪怪,水,0,,,玄水灭灵台;烟雨锁千川;沧海覆凡尘;寒浪冲;洪涛席卷来,90.0,160.0,130.0,300.0,126.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/snowpile_linfengxueyao.tres,snowpile_linfengxueyao,凛风雪妖,水,0,,,烟雨锁千川;沧海覆凡尘;寒浪冲;洪涛席卷来;浪击;流波撞,110.0,200.0,160.0,300.0,133.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/snowpile_xueyuanxuerongshou.tres,snowpile_xueyuanxuerongshou,雪原雪绒兽,水,0,,,水术;玄水灭灵台;烟雨锁千川;沧海覆凡尘,90.0,120.0,110.0,220.0,118.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/test_monster_1.tres,test_monster_1,测试怪物1,水,0,,,测试卡2,100.0,100.0,100.0,100.0,100.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/test_monster_2.tres,test_monster_2,怪物2,木,0,,,,100.0,100.0,100.0,100.0,100.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/treasurechest_cangbaoxieling.tres,treasurechest_cangbaoxieling,藏宝邪灵,木,0,,,翠雾漫四野;抽枝;古木撼山岳;蔓枝绞;木击;万枝乱扑袭,120.0,220.0,170.0,280.0,120.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/treasurechest_mibaoshiying.tres,treasurechest_mibaoshiying,秘宝噬影,土,0,,,厚土封灵脉;沙尘笼天地;土击;岩崩;岩崩击,120.0,280.0,100.0,300.0,95.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/treasurechest_shouxianghuanling.tres,treasurechest_shouxianghuanling,守箱幻灵,金,0,,,千锋破敌势;切割;锐锋击;碎铁狂击;藤响,120.0,240.0,70.0,180.0,97.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/tree_gulinshuren.tres,tree_gulinshuren,古林树人,木,0,,,,120.0,220.0,160.0,280.0,115.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/tree_kumujing.tres,tree_kumujing,枯木精,木,0,,,翠雾漫四野;毒藤引;灵木噬生机;古木撼山岳,80.0,140.0,120.0,200.0,105.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/tree_shutengmo.tres,tree_shutengmo,树藤魔,木,0,,,毒藤引;灵木噬生机;木术;青灵咒;蔓枝绞,100.0,180.0,160.0,240.0,110.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/undergroundlake_anyuan_shuiling.tres,undergroundlake_anyuan_shuiling,暗渊水灵,水,0,,,寒汐引;浪决;凝水诀;水术,70.0,120.0,120.0,180.0,120.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/undergroundlake_didi_youlinshou.tres,undergroundlake_didi_youlinshou,地底幽鳞兽,水,0,,,磐石撞;凝水诀;水术;玄水灭灵台;烟雨锁千川;沧海覆凡尘;寒浪冲,130.0,200.0,150.0,260.0,125.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
res://resources/monster/undergroundlake_xueju_shuixi.tres,undergroundlake_xueju_shuixi,穴居水蜥,水,0,,,浪决;凝水诀;水术;玄水灭灵台;烟雨锁千川,100.0,160.0,130.0,220.0,127.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
