resource_path,id_slug,card_id,card_name,description,icon_path,cost,tags,combat_skill_path,element,targeting_type,monster_owners
res://resources/skill_cards/bmob.tres,bmob,,炸弹,爆炸扩散伤害中间灼烧。,res://res/skillcard/fire_skill_card.png,20,扩散伤害;灼烧,res://resources/combat_skills/bmob.tres,火,扩散敌人,淬火铁卫;熔锻魔兵
res://resources/skill_cards/earth_magic_houtufenglingmai.tres,earth_magic_houtufenglingmai,,厚土封灵脉,对单体敌人造成70点土属性法术伤害。,res://res/skillcard/earth_skill_card.png,60,高额伤害,res://resources/combat_skills/earth_magic_houtufenglingmai.tres,土,,黑心佣兵;岩壳兽;黄沙岩隐兽;秘宝噬影
res://resources/skill_cards/earth_magic_shachenlongtiandi.tres,earth_magic_shachenlongtiandi,,沙尘笼天地,对所有敌人造成10点土属性法术伤害。,res://res/skillcard/earth_skill_card.png,20,范围伤害,res://resources/combat_skills/earth_magic_shachenlongtiandi.tres,土,全体敌人,黑心佣兵;石甲守卫;岩壳兽;秘宝噬影
res://resources/skill_cards/earth_magic_shixiao.tres,earth_magic_shixiao,,石啸,对单体敌人造成10点土属性法术伤害。,res://res/skillcard/earth_skill_card.png,10,单体伤害,res://resources/combat_skills/earth_magic_shixiao.tres,土,单体敌人,裂岩巨灵;石甲守卫;岩壳兽
res://resources/skill_cards/earth_magic_tushu.tres,earth_magic_tushu,,土术,对单体敌人造成5点土属性法术伤害。,res://res/skillcard/earth_skill_card.png,10,单体伤害,res://resources/combat_skills/earth_magic_tushu.tres,土,单体敌人,地脉芽妖;沃土蚓魔;裂岩巨灵;石甲守卫
res://resources/skill_cards/earth_magic_zhentujue.tres,earth_magic_zhentujue,,镇土诀,对随机敌人造成30点土属性法术伤害。,res://res/skillcard/earth_skill_card.png,20,随机伤害,res://resources/combat_skills/earth_magic_zhentujue.tres,土,随机敌人,泥沼根须怪;沃土蚓魔;裂岩巨灵;石甲守卫
res://resources/skill_cards/earth_magic_zhuoyanyin.tres,earth_magic_zhuoyanyin,,浊岩引,对单体敌人造成20点土属性法术伤害，并对相邻敌人造成10点土属性法术伤害。,res://res/skillcard/earth_skill_card.png,30,扩散伤害,res://resources/combat_skills/earth_magic_zhuoyanyin.tres,土,扩散敌人,泥沼根须怪;沃土蚓魔;裂岩巨灵;流沙沙蝎
res://resources/skill_cards/earth_phys_chenyansuiqianjun.tres,earth_phys_chenyansuiqianjun,,沉岩碎千钧,对单体敌人造成70点土属性物理伤害。,res://res/skillcard/earth_skill_card.png,60,高额伤害,res://resources/combat_skills/earth_phys_chenyansuiqianjun.tres,土,单体敌人,泥沼根须怪;沃土蚓魔;裂岩巨灵;荒漠沙行兽;流沙沙蝎
res://resources/skill_cards/earth_phys_houtuzhensifang.tres,earth_phys_houtuzhensifang,,厚土镇四方,对所有敌人造成10点土属性物理伤害。,res://res/skillcard/earth_skill_card.png,20,范围伤害,res://resources/combat_skills/earth_phys_houtuzhensifang.tres,土,全体敌人,泥沼根须怪;裂岩巨灵;荒漠沙行兽;黄沙岩隐兽;流沙沙蝎
res://resources/skill_cards/earth_phys_panshizhuang.tres,earth_phys_panshizhuang,,磐石撞,对单体敌人造成20点土属性物理伤害，并对相邻敌人造成10点土属性物理伤害。,res://res/skillcard/earth_skill_card.png,30,扩散伤害,res://resources/combat_skills/earth_phys_panshizhuang.tres,土,扩散敌人,泥沼根须怪;黑心佣兵;荒漠沙行兽;黄沙岩隐兽;流沙沙蝎;地底幽鳞兽
res://resources/skill_cards/earth_phys_tuji.tres,earth_phys_tuji,,土击,对单体敌人造成5点土属性物理伤害。,res://res/skillcard/earth_skill_card.png,10,单体伤害,res://resources/combat_skills/earth_phys_tuji.tres,土,,泥沼根须怪;黑心佣兵;荒漠沙行兽;黄沙岩隐兽;秘宝噬影
res://resources/skill_cards/earth_phys_yanbeng.tres,earth_phys_yanbeng,,岩崩,对单体敌人造成10点土属性物理伤害。,res://res/skillcard/earth_skill_card.png,10,单体伤害,res://resources/combat_skills/earth_phys_yanbeng.tres,土,,黑心佣兵;岩壳兽;荒漠沙行兽;黄沙岩隐兽;秘宝噬影
res://resources/skill_cards/earth_phys_yanbengji.tres,earth_phys_yanbengji,,岩崩击,对随机敌人造成30点土属性物理伤害。,res://res/skillcard/earth_skill_card.png,20,随机伤害,res://resources/combat_skills/earth_phys_yanbengji.tres,土,随机敌人,黑心佣兵;石甲守卫;黄沙岩隐兽;秘宝噬影
res://resources/skill_cards/fire_magic_fenzhuo.tres,fire_magic_fenzhuo,,焚灼,对单体敌人造成10点火属性法术伤害。,res://res/skillcard/fire_skill_card.png,10,单体伤害,res://resources/combat_skills/fire_magic_fenzhuo.tres,火,单体敌人,熔火岩蜥
res://resources/skill_cards/fire_magic_huoshu.tres,fire_magic_huoshu,,火术,对单体敌人造成5点火属性法术伤害。,res://res/skillcard/fire_skill_card.png,10,单体伤害,res://resources/combat_skills/fire_magic_huoshu.tres,火,单体敌人,熔火岩蜥
res://resources/skill_cards/fire_magic_jinhuoyin.tres,fire_magic_jinhuoyin,,烬火引,对单体敌人造成20点火属性法术伤害，并对相邻敌人造成10点火属性法术伤害。,res://res/skillcard/fire_skill_card.png,30,扩散伤害,res://resources/combat_skills/fire_magic_jinhuoyin.tres,火,扩散敌人,赤焰熔兽
res://resources/skill_cards/fire_magic_lieyantunbafang.tres,fire_magic_lieyantunbafang,,烈焰吞八方,对所有敌人造成10点火属性法术伤害。,res://res/skillcard/fire_skill_card.png,20,范围伤害,res://resources/combat_skills/fire_magic_lieyantunbafang.tres,火,全体敌人,赤焰熔兽
res://resources/skill_cards/fire_magic_ranhunzhou.tres,fire_magic_ranhunzhou,,燃魂咒,对随机敌人造成30点火属性法术伤害。,res://res/skillcard/fire_skill_card.png,20,随机伤害,res://resources/combat_skills/fire_magic_ranhunzhou.tres,火,随机敌人,赤焰熔兽;熔火岩蜥
res://resources/skill_cards/fire_magic_shenhuolianfanqu.tres,fire_magic_shenhuolianfanqu,,神火炼凡躯,对单体敌人造成70点火属性法术伤害。,res://res/skillcard/fire_skill_card.png,60,高额伤害,res://resources/combat_skills/fire_magic_shenhuolianfanqu.tres,火,,赤焰熔兽
res://resources/skill_cards/fire_phys_chiyanfencangqiong.tres,fire_phys_chiyanfencangqiong,,赤焰焚苍穹,对单体敌人造成70点火属性物理伤害。,res://res/skillcard/fire_skill_card.png,60,高额伤害,res://resources/combat_skills/fire_phys_chiyanfencangqiong.tres,火,单体敌人,赤焰熔兽
res://resources/skill_cards/fire_phys_fentianji.tres,fire_phys_fentianji,,焚天击,对单体敌人造成20点火属性物理伤害，并对相邻敌人造成10点火属性物理伤害。,res://res/skillcard/fire_skill_card.png,30,扩散伤害,res://resources/combat_skills/fire_phys_fentianji.tres,火,扩散敌人,
res://resources/skill_cards/fire_phys_huoji.tres,fire_phys_huoji,,火击,对单体敌人造成5点火属性物理伤害。,res://res/skillcard/fire_skill_card.png,10,单体伤害,res://resources/combat_skills/fire_phys_huoji.tres,火,单体敌人,锻铁战偶;熔火岩蜥
res://resources/skill_cards/fire_phys_liaoyuanfensiye.tres,fire_phys_liaoyuanfensiye,,燎原焚四野,对所有敌人造成10点火属性物理伤害。,res://res/skillcard/fire_skill_card.png,20,范围伤害,res://resources/combat_skills/fire_phys_liaoyuanfensiye.tres,火,全体敌人,
res://resources/skill_cards/fire_phys_lieyanquan.tres,fire_phys_lieyanquan,,烈炎拳,对随机敌人造成30点火属性物理伤害。,res://res/skillcard/fire_skill_card.png,20,随机伤害,res://resources/combat_skills/fire_phys_lieyanquan.tres,火,随机敌人,赤焰熔兽;裂岩巨灵
res://resources/skill_cards/fire_phys_yanyong.tres,fire_phys_yanyong,,炎涌,对单体敌人造成10点火属性物理伤害。,res://res/skillcard/fire_skill_card.png,10,单体伤害,res://resources/combat_skills/fire_phys_yanyong.tres,火,,
res://resources/skill_cards/metal_magic_jinmangfubafang.tres,metal_magic_jinmangfubafang,,金芒覆八方,对所有敌人造成10点金属性法术伤害。,res://res/skillcard/gold_skill_card.png,20,范围伤害,res://resources/combat_skills/metal_magic_jinmangfubafang.tres,金,全体敌人,淬火铁卫;锻铁战偶;铁鳞魔
res://resources/skill_cards/metal_magic_jinshu.tres,metal_magic_jinshu,,金术,对单体敌人造成5点金属性法术伤害。,res://res/skillcard/gold_skill_card.png,10,单体伤害,res://resources/combat_skills/metal_magic_jinshu.tres,金,单体敌人,淬火铁卫;铁鳞魔
res://resources/skill_cards/metal_magic_liuguangzhou.tres,metal_magic_liuguangzhou,,鎏光咒,对随机敌人造成30点金属性法术伤害。,res://res/skillcard/gold_skill_card.png,20,随机伤害,res://resources/combat_skills/metal_magic_liuguangzhou.tres,金,随机敌人,黑铁战兽;铁鳞魔
res://resources/skill_cards/metal_magic_ruimang.tres,metal_magic_ruimang,,锐芒,对单体敌人造成10点金属性法术伤害。,res://res/skillcard/gold_skill_card.png,10,单体伤害,res://resources/combat_skills/metal_magic_ruimang.tres,金,单体敌人,鎏金幻兽;黑铁战兽
res://resources/skill_cards/metal_magic_suixingjue.tres,metal_magic_suixingjue,,碎星诀,对单体敌人造成20点金属性法术伤害，并对相邻敌人造成10点金属性法术伤害。,res://res/skillcard/gold_skill_card.png,30,扩散伤害,res://resources/combat_skills/metal_magic_suixingjue.tres,金,扩散敌人,晶金岩怪;鎏金幻兽;黑铁战兽
res://resources/skill_cards/metal_magic_xuanjinzhenshenhun.tres,metal_magic_xuanjinzhenshenhun,,玄金镇神魂,对单体敌人造成70点金属性法术伤害。,res://res/skillcard/gold_skill_card.png,60,高额伤害,res://resources/combat_skills/metal_magic_xuanjinzhenshenhun.tres,金,,晶金岩怪;鎏金幻兽;碎金守财兽;黑铁战兽
res://resources/skill_cards/metal_phys_jinji.tres,metal_phys_jinji,,金击,对单体敌人造成5点金属性物理伤害。,res://res/skillcard/gold_skill_card.png,10,单体伤害,res://resources/combat_skills/metal_phys_jinji.tres,金,,淬火铁卫;晶金岩怪;鎏金幻兽;碎金守财兽;黑铁战兽;游荡盗匪
res://resources/skill_cards/metal_phys_liejinzhan.tres,metal_phys_liejinzhan,,裂金斩,对单体敌人造成20点金属性物理伤害，并对相邻敌人造成10点金属性物理伤害。,res://res/skillcard/gold_skill_card.png,30,扩散伤害,res://resources/combat_skills/metal_phys_liejinzhan.tres,金,扩散敌人,晶金岩怪;碎金守财兽;黑铁战兽;黑市护卫;游荡盗匪
