resource_path,id_slug,monster_name,element,faction,max_health,model_scene_path,behavior_tree_scene_path,skill_paths,skill_names,base_phys_atk,phys_atk_growth,base_phys_def,phys_def_growth,base_mag_power,mag_power_growth,base_mag_resist,mag_resist_growth,base_speed,speed_growth
res://resources/monster/anvil_cuihuotiewei.tres,anvil_cuihuotiewei,淬火铁卫,2,0,145,,,res://resources/combat_skills/metal_magic_jinmangfubafang.tres;res://resources/combat_skills/metal_magic_jinshu.tres;res://resources/combat_skills/metal_magic_liuguangzhou.tres;res://resources/combat_skills/metal_magic_ruimang.tres;res://resources/combat_skills/metal_phys_ruifengji.tres;res://resources/combat_skills/metal_phys_suitiekuangji.tres,金芒覆八方;金术;鎏光咒;锐芒;锐锋击;碎铁狂击,190.0,28.0,320.0,36.0,120.0,15.0,240.0,24.0,105.0,4.0
res://resources/monster/anvil_duantiezhano.tres,anvil_duantiezhano,锻铁战偶,2,0,110,,,res://resources/combat_skills/fire_phys_huoji.tres;res://resources/combat_skills/metal_magic_jinmangfubafang.tres;res://resources/combat_skills/metal_phys_qiege.tres;res://resources/combat_skills/metal_phys_ruifengji.tres;res://resources/combat_skills/metal_phys_suitiekuangji.tres,火击;金芒覆八方;切割;锐锋击;碎铁狂击,140.0,28.0,320.0,36.0,60.0,15.0,160.0,24.0,90.0,4.0
res://resources/monster/anvil_rongduanmobing.tres,anvil_rongduanmobing,熔锻魔兵,5,0,120,,,res://resources/combat_skills/fire_magic_lieyantunbafang.tres;res://resources/combat_skills/fire_magic_ranhunzhou.tres;res://resources/combat_skills/fire_magic_shenhuolianfanqu.tres;res://resources/combat_skills/fire_phys_fentianji.tres;res://resources/combat_skills/fire_phys_yanyong.tres,烈焰吞八方;燃魂咒;神火炼凡躯;焚天击;炎涌,120.0,,180.0,24.0,170.0,32.0,180.0,,115.0,
res://resources/monster/berrybush_ducongyao.tres,berrybush_ducongyao,毒丛妖,1,0,95,,,res://resources/combat_skills/wood_magic_mushu.tres;res://resources/combat_skills/wood_magic_qinglingzhou.tres;res://resources/combat_skills/wood_magic_tengxiang.tres;res://resources/combat_skills/wood_phys_wanzhiluanpuxi.tres,木术;青灵咒;藤响;万枝乱扑袭,80.0,22.0,140.0,24.0,150.0,,200.0,30.0,113.0,4.5
res://resources/monster/berrybush_mantengdushou.tres,berrybush_mantengdushou,蔓藤毒兽,1,0,140,,,res://resources/combat_skills/wood_magic_tengxiang.tres;res://resources/combat_skills/wood_phys_cangtengci.tres;res://resources/combat_skills/wood_phys_chouzhi.tres;res://resources/combat_skills/wood_phys_gumuhanshanyue.tres;res://resources/combat_skills/wood_phys_manzhijiao.tres;res://resources/combat_skills/wood_phys_muji.tres,藤响;苍藤刺;抽枝;古木撼山岳;蔓枝绞;木击,140.0,22.0,220.0,24.0,180.0,30.0,280.0,30.0,118.0,4.5
res://resources/monster/berrybush_yeguoshou.tres,berrybush_yeguoshou,野果兽,1,0,120,,,res://resources/combat_skills/wood_magic_qinglingzhou.tres;res://resources/combat_skills/wood_magic_tengxiang.tres;res://resources/combat_skills/wood_phys_cangtengci.tres;res://resources/combat_skills/wood_phys_chouzhi.tres;res://resources/combat_skills/wood_phys_gumuhanshanyue.tres,青灵咒;藤响;苍藤刺;抽枝;古木撼山岳,120.0,22.0,180.0,24.0,140.0,30.0,240.0,30.0,110.0,4.5
res://resources/monster/fertileland_dimaiyao.tres,fertileland_dimaiyao,地脉芽妖,1,0,110,,,res://resources/combat_skills/earth_magic_tushu.tres;res://resources/combat_skills/wood_phys_cangtengci.tres;res://resources/combat_skills/wood_phys_chouzhi.tres;res://resources/combat_skills/wood_phys_gumuhanshanyue.tres;res://resources/combat_skills/wood_phys_manzhijiao.tres;res://resources/combat_skills/wood_phys_muji.tres,土术;苍藤刺;抽枝;古木撼山岳;蔓枝绞;木击,,22.0,180.0,24.0,150.0,,240.0,30.0,115.0,4.5
res://resources/monster/fertileland_nizhaogenxuguai.tres,fertileland_nizhaogenxuguai,泥沼根须怪,4,0,155,,,res://resources/combat_skills/earth_magic_zhentujue.tres;res://resources/combat_skills/earth_magic_zhuoyanyin.tres;res://resources/combat_skills/earth_phys_chenyansuiqianjun.tres;res://resources/combat_skills/earth_phys_houtuzhensifang.tres;res://resources/combat_skills/earth_phys_panshizhuang.tres;res://resources/combat_skills/earth_phys_tuji.tres,镇土诀;浊岩引;沉岩碎千钧;厚土镇四方;磐石撞;土击,130.0,20.0,320.0,40.0,110.0,20.0,300.0,36.0,95.0,3.5
res://resources/monster/fertileland_wotuyinmo.tres,fertileland_wotuyinmo,沃土蚓魔,4,0,120,,,res://resources/combat_skills/earth_magic_tushu.tres;res://resources/combat_skills/earth_magic_zhentujue.tres;res://resources/combat_skills/earth_magic_zhuoyanyin.tres;res://resources/combat_skills/earth_phys_chenyansuiqianjun.tres,土术;镇土诀;浊岩引;沉岩碎千钧,90.0,20.0,240.0,40.0,90.0,20.0,220.0,36.0,85.0,3.5
res://resources/monster/fishingspot_shenshuijuao.tres,fishingspot_shenshuijuao,深水巨螯,3,0,140,,,res://resources/combat_skills/water_phys_hanlangchong.tres;res://resources/combat_skills/water_phys_hongtaoxijuanlai.tres;res://resources/combat_skills/water_phys_langji.tres;res://resources/combat_skills/water_phys_liubozhuang.tres;res://resources/combat_skills/water_phys_shuiji.tres,寒浪冲;洪涛席卷来;浪击;流波撞;水击,110.0,20.0,160.0,24.0,130.0,28.0,220.0,32.0,115.0,5.5
